Capacitance Test;;;Directory: C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs
missing_files;not_matched;without_pixel_gain;yield;number_of_tests;passed_tests;failed_tests
[];[];[];0.811;37;30;7

types_order: ;blob

Config
blob.BlobConfig;;blob.PxlCtrlInfo;
blob_threshold;max_number_of_blob_pixels;pixel_gain;max_pixel_gain
3.5000000480067683e-06;7;3;3

Result
;;;dead_pixels_list;;;;blob.CapacitanceResult;;;;;;;;;;;blob.BlobResult;;;;;
test_id;file_paths;pass;num_dead_pixels;dead_pixels_index_list;list_max_size;is_initialized;min;min5;median;max5;max;vdd_tx;uniformity_level;signal_strength;capacitance_size;capacitance_image;capacitance_image_float;number_of_blob_pixels;detection_image;blob_image;width;height;pass
0341G1PR36000D06_20170626-102547-488;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36000D06_20170626-102547-488_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36000D06_20170626-102547-488_painted.png;False;0;[];5000;1;-0.004834328778088093;0.38916346430778503;0.47859853506088257;0.49793586134910583;0.5172731876373291;1.8;0.22727273293363476;0.47859853506088257;11264;-;-;9;[(2766, 1.1879126759595238e-05), (2767, 4.2586350900819525e-05), (2768, 1.2067423085682094e-05), (2830, 4.145798448007554e-05), (2831, 9.743405826156959e-05), (2832, 4.2092207877431065e-05), (2894, 1.0086958354804665e-05), (2895, 4.0475093555869535e-05), (2896, 1.098926986742299e-05)];[(2766, 255), (2767, 255), (2768, 255), (2830, 255), (2831, 255), (2832, 255), (2894, 255), (2895, 255), (2896, 255)];64;176;False
0341G1PR36010C0A_20170626-105046-748;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36010C0A_20170626-105046-748_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36010C0A_20170626-105046-748_painted.png;True;0;[];5000;1;0.38916346430778503;0.4085007905960083;0.45200973749160767;0.47376421093940735;0.4906843602657318;1.8;0.14438498760131419;0.45200973749160767;11264;-;-;0;[];[];64;176;True
0341G1PR360A0D07_20170626-102203-447;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360A0D07_20170626-102203-447_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360A0D07_20170626-102203-447_painted.png;True;0;[];5000;1;0.38916346430778503;0.4109179377555847;0.4568440616130829;0.47376421093940735;0.4906843602657318;1.8;0.13756613791129746;0.4568440616130829;11264;-;-;0;[];[];64;176;True
0341G1PR360C0A02_20170626-102637-501;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360C0A02_20170626-102637-501_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360C0A02_20170626-102637-501_painted.png;True;0;[];5000;1;0.3843291401863098;0.4085007905960083;0.47859853506088257;0.4931015372276306;0.5076045393943787;1.8;0.17676766733283095;0.47859853506088257;11264;-;-;0;[];[];64;176;True
0341G1PR360D0607_20170626-102107-711;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360D0607_20170626-102107-711_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360D0607_20170626-102107-711_painted.png;True;0;[];5000;1;0.3843291401863098;0.4060836136341095;0.4568440616130829;0.47859853506088257;0.4931015372276306;1.8;0.15873013905604508;0.4568440616130829;11264;-;-;0;[];[];64;176;True
0341G1PR360F0506_20170626-104245-026;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360F0506_20170626-104245-026_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR360F0506_20170626-104245-026_painted.png;True;0;[];5000;1;0.39641496539115906;0.4133351147174835;0.4858500361442566;0.5076045393943787;0.5196903347969055;1.8;0.1940298809587925;0.4858500361442566;11264;-;-;0;[];[];64;176;True
0341G1PR36170D07_20170626-105125-135;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36170D07_20170626-105125-135_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR36170D07_20170626-105125-135_painted.png;True;0;[];5000;1;0.39158064126968384;0.4085007905960083;0.47859853506088257;0.49793586134910583;0.5148560404777527;1.8;0.1868686679989952;0.47859853506088257;11264;-;-;0;[];[];64;176;True
0341G1PR361A0407_20170626-103800-914;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR361A0407_20170626-103800-914_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR361A0407_20170626-103800-914_painted.png;True;0;[];5000;1;0.3988321125507355;0.42300376296043396;0.4665127098560333;0.4906843602657318;0.5148560404777527;1.8;0.14507771358723368;0.4665127098560333;11264;-;-;0;[];[];64;176;True
0341G1PR361C0A02_20170626-104453-327;C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR361C0A02_20170626-104453-327_white.png C:\Hugo Documents\logs\FP033_test300ea_MTT12.0\something_37pcs\0341G1PR361C0A02_20170626-104453-327_painted.png;False;0;[];5000;1;0.1353612095117569;0.38674628734588623;0.4640955626964569;0.4906843602657318;0.5100216865539551;1.8;0.22395834236369674;0.4640955626964569;11264;-;-;20;[(57, 1.3962378943688236e-05), (58, 5.942027200944722e-05), (59, 8.77920028869994e-05), (60, 1.4275240573624615e-05), (188, 3.911718522431329e-05), (189, 0.00015864988381508738), (190, 0.00018196050950791687), (191, 0.00017051713075488806), (252, 0.00020990922348573804), (253, 0.00037502244231291115), (254, 0.00032771509722806513), (255, 0.00023870762379374355), (316, 0.00022409330995287746), (317, 0.0003868896164931357), (318, 0.0003111293772235513), (319, 0.00019166397396475077), (380, 3.9952603401616216e-05), (381, 0.0001732127566356212), (382, 0.00015546006034128368), (383, 8.966140012489632e-05)];[(57, 255), (58, 255), (59, 255), (60, 255), (188, 255), (189, 255), (190, 255), (191, 255), (252, 255), (253, 255), (254, 255), (255, 255), (316, 255), (317, 255), (318, 255), (319, 255), (380, 255), (381, 255), (382, 255), (383, 255)];64;176;False
