Inverted Checker Board;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Row\Col;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;Number of bad pixels in Row
1;150;206;100;207;99;207;99;206;100;205;100;204;99;205;99;206;102;207;100;206;100;206;100;206;100;206;101;205;98;205;101;206;99;205;100;206;101;206;99;204;100;205;100;204;99;206;99;206;97;205;99;206;99;205;99;204;99;206;100;204;99;205;100;206;100;205;99;206;98;205;101;205;99;206;99;205;100;206;99;206;99;208;99;206;100;207;99;205;100;205;100;206;100;207;101;206;100;206;100;206;99;205;101;205;100;207;100;207;100;205;100;205;0
2;206;150;206;101;205;100;207;100;205;100;205;100;206;98;204;98;206;98;206;99;205;99;207;99;206;99;205;98;205;99;206;99;205;100;204;99;205;100;206;99;204;99;205;98;204;99;205;99;205;99;204;99;205;99;204;99;207;99;206;98;205;99;206;99;205;98;205;99;205;98;206;99;206;100;205;100;206;100;206;99;206;99;206;99;206;100;206;99;205;99;205;99;206;100;206;100;204;100;206;100;206;100;206;98;205;100;207;100;206;100;206;100;0
3;150;206;150;207;99;206;100;206;100;205;98;206;98;207;99;205;99;205;99;205;99;206;99;207;100;205;100;205;100;207;99;206;100;206;99;206;100;204;100;206;99;204;99;206;100;204;98;203;100;205;99;206;101;205;99;205;99;206;99;205;100;206;100;206;99;204;98;205;99;204;99;203;100;205;99;205;100;206;100;206;99;206;98;206;99;206;99;206;98;206;99;206;100;206;101;206;99;205;99;206;99;206;100;205;100;204;99;206;100;206;101;206;0
4;206;150;204;150;205;99;206;100;206;100;207;100;206;100;206;99;206;100;205;99;207;101;204;101;207;100;205;100;207;99;205;102;206;98;204;100;206;100;203;99;205;100;205;101;206;98;204;100;204;98;205;100;204;101;204;99;206;100;206;98;206;99;206;99;206;101;205;100;206;101;206;100;205;99;206;99;206;99;205;100;205;98;207;100;206;99;207;100;205;99;205;99;206;99;205;98;206;100;205;100;205;101;205;100;205;100;206;98;206;99;206;100;0
5;100;206;150;206;150;205;100;206;99;206;98;205;100;206;99;206;100;205;102;206;99;205;99;206;99;205;99;205;99;206;99;206;100;203;99;205;98;204;99;205;98;205;98;206;99;204;99;205;100;205;99;205;99;205;100;204;98;205;99;205;100;204;100;205;99;205;99;204;99;204;98;204;100;204;98;206;99;205;100;205;98;207;99;206;99;206;99;206;100;204;100;205;98;206;99;205;99;205;98;205;99;205;100;204;99;206;99;205;100;206;100;206;0
6;207;99;206;150;205;99;205;101;206;101;206;100;206;100;204;100;206;102;205;100;206;100;206;99;205;99;205;99;206;99;206;100;206;99;206;99;206;98;204;100;203;100;204;99;205;99;205;99;204;101;206;99;205;99;203;99;204;98;205;100;205;99;204;99;205;99;205;101;205;100;205;99;206;99;205;98;204;99;204;99;206;101;207;99;205;101;205;100;206;100;206;100;206;100;205;100;206;100;205;100;205;100;206;98;205;99;205;99;206;98;205;100;0
7;100;206;99;206;150;205;99;206;100;205;99;205;100;205;100;206;99;207;99;205;99;205;99;206;99;206;100;206;100;207;100;206;99;205;101;205;100;205;99;203;99;204;99;204;100;206;100;202;100;206;99;206;98;204;99;205;98;205;99;205;99;205;100;206;100;205;98;206;100;204;98;205;99;204;99;205;99;205;98;204;100;205;98;206;100;205;100;205;99;205;99;206;100;206;99;206;99;205;99;205;97;206;99;205;100;205;99;206;100;205;100;206;0
8;205;99;205;100;205;150;206;100;205;100;205;100;205;98;205;98;206;100;205;100;205;99;204;99;205;98;205;100;205;100;207;99;206;100;206;99;205;99;205;98;205;98;206;100;205;100;205;101;206;99;205;100;205;99;205;100;206;99;205;100;206;100;205;99;206;99;206;100;205;99;206;99;204;98;204;100;205;99;204;100;205;100;206;98;207;101;205;99;204;99;206;99;206;100;206;100;205;100;206;100;206;101;205;99;205;99;205;98;205;100;205;98;0
9;100;206;100;206;101;206;100;206;100;205;100;205;101;205;99;205;99;205;100;205;98;206;100;205;99;205;99;204;99;206;99;205;99;205;100;204;101;204;100;203;98;204;100;206;99;206;99;205;100;206;98;205;101;206;100;205;98;205;99;205;100;205;100;204;98;204;98;204;99;205;99;203;100;205;100;204;100;206;100;206;99;205;99;206;100;206;100;205;100;206;99;205;99;206;100;206;101;205;100;206;100;205;99;206;100;206;98;205;98;207;99;205;0
10;206;99;205;100;204;100;206;100;205;100;206;100;205;100;205;98;206;100;205;100;205;100;204;99;205;98;205;99;205;99;206;99;205;100;204;100;205;99;203;99;205;98;205;99;204;99;205;99;206;99;205;99;204;100;204;99;204;99;204;100;205;99;204;99;205;99;204;101;204;100;205;98;205;99;205;99;205;99;205;99;207;99;205;99;206;99;205;99;205;99;204;100;204;100;205;98;208;100;205;99;206;99;205;99;205;99;206;99;206;100;206;100;0
